lunes 12,martes 13,miercoles 14,jueves 15,viernes 16,sabado 17,domingo 18,lunes 19,martes 20 ,miercoles 21
16,17,18,13,14,22,21,19,21,19
14,15,10,11,13,19,15,18,16,17
